,Unnamed: 0,sensitivity,specificity,inv_frac,delay_samples,decay_part
789,789,1.0,0.0,3.5,100,140
788,788,1.0,0.0,3.0,100,140
787,787,1.0,0.0,2.5,100,140
786,786,1.0,0.0,2.0,100,140
785,785,1.0,0.0,1.5,100,140
784,784,1.0,0.0,1.0,100,140
783,783,1.0,0.0,0.5,100,140
1106,1106,1.0,0.0,0.5,150,280
172,172,1.0,0.0,1.0,150,60
174,174,1.0,0.0,2.0,150,60
754,754,1.0,0.0,3.0,50,140
753,753,1.0,0.0,2.5,50,140
752,752,1.0,0.0,2.0,50,140
210,210,1.0,0.0,3.0,200,60
211,211,1.0,0.0,3.5,200,60
222,222,1.0,0.0,0.5,225,60
223,223,1.0,0.0,1.0,225,60
224,224,1.0,0.0,1.5,225,60
225,225,1.0,0.0,2.0,225,60
226,226,1.0,0.0,2.5,225,60
1123,1123,1.0,0.0,0.5,175,280
1124,1124,1.0,0.0,1.0,175,280
1125,1125,1.0,0.0,1.5,175,280
1126,1126,1.0,0.0,2.0,175,280
1127,1127,1.0,0.0,2.5,175,280
227,227,1.0,0.0,3.0,225,60
239,239,1.0,0.0,0.5,250,60
240,240,1.0,0.0,1.0,250,60
1111,1111,1.0,0.0,3.0,150,280
1110,1110,1.0,0.0,2.5,150,280
1109,1109,1.0,0.0,2.0,150,280
732,732,1.0,0.0,0.5,25,140
751,751,1.0,0.0,1.5,50,140
750,750,1.0,0.0,1.0,50,140
749,749,1.0,0.0,0.5,50,140
1108,1108,1.0,0.0,1.5,150,280
195,195,0.9993364299933644,0.0,4.0,175,60
205,205,1.0,0.0,0.5,200,60
206,206,1.0,0.0,1.0,200,60
907,907,1.0,0.0,3.0,225,220
207,207,1.0,0.0,1.5,200,60
209,209,1.0,0.0,2.5,200,60
738,738,1.0,0.0,3.5,25,140
737,737,1.0,0.0,3.0,25,140
736,736,1.0,0.0,2.5,25,140
735,735,1.0,0.0,2.0,25,140
734,734,1.0,0.0,1.5,25,140
733,733,1.0,0.0,1.0,25,140
208,208,1.0,0.0,2.0,200,60
311,311,1.0,0.0,2.5,225,80
1774,1774,1.0,0.0,3.0,150,300
1772,1772,1.0,0.0,2.0,150,300
1498,1498,1.0,0.0,1.0,100,260
1499,1499,1.0,0.0,1.5,100,260
1500,1500,1.0,0.0,2.0,100,260
1501,1501,1.0,0.0,2.5,100,260
1502,1502,1.0,0.0,3.0,100,260
1247,1247,1.0,0.0,3.0,75,220
1246,1246,1.0,0.0,2.5,75,220
1245,1245,1.0,0.0,2.0,75,220
