,sensitivity,specificity,inv_frac,delay_samples,window
304,0.0,1.0,0.0,125,40
305,1.0,0.0,0.5,125,40
306,1.0,0.0,1.0,125,40
307,1.0,0.0,1.5,125,40
308,1.0,0.0,2.0,125,40
309,1.0,0.022044088176352707,2.5,125,40
310,1.0,0.1843687374749499,3.0,125,40
311,1.0,0.45490981963927857,3.5,125,40
312,0.998,0.6412825651302605,4.0,125,40
313,0.992,0.7715430861723447,4.5,125,40
314,0.972,0.8537074148296593,5.0,125,40
315,0.936,0.9018036072144289,5.5,125,40
316,0.908,0.935871743486974,6.0,125,40
317,0.868,0.9619238476953907,6.5,125,40
318,0.816,0.9739478957915831,7.0,125,40
319,0.764,0.9859719438877755,7.5,125,40
320,0.0,1.0,0.0,150,40
321,1.0,0.0,0.5,150,40
322,1.0,0.0,1.0,150,40
323,1.0,0.0,1.5,150,40
324,1.0,0.0,2.0,150,40
325,1.0,0.018036072144288578,2.5,150,40
326,1.0,0.17835671342685372,3.0,150,40
327,1.0,0.43286573146292584,3.5,150,40
328,0.996,0.6513026052104208,4.0,150,40
329,0.99,0.7915831663326653,4.5,150,40
330,0.982,0.87374749498998,5.0,150,40
331,0.966,0.9438877755511023,5.5,150,40
332,0.926,0.9599198396793587,6.0,150,40
333,0.904,0.9779559118236473,6.5,150,40
334,0.866,0.9839679358717435,7.0,150,40
335,0.83,0.9919839679358717,7.5,150,40
336,0.0,1.0,0.0,0,60
337,0.0,1.0,0.5,0,60
338,0.0,1.0,1.0,0,60
339,0.0,1.0,1.5,0,60
340,0.0,1.0,2.0,0,60
341,0.0,1.0,2.5,0,60
342,0.0,1.0,3.0,0,60
343,0.0,1.0,3.5,0,60
344,0.0,1.0,4.0,0,60
345,0.0,1.0,4.5,0,60
346,0.0,1.0,5.0,0,60
347,0.0,1.0,5.5,0,60
348,0.0,1.0,6.0,0,60
349,0.0,1.0,6.5,0,60
350,0.0,1.0,7.0,0,60
351,0.0,1.0,7.5,0,60
352,0.0,1.0,0.0,25,60
353,0.994,0.002004008016032064,0.5,25,60
354,1.0,0.0,1.0,25,60
355,1.0,0.0,1.5,25,60
356,1.0,0.0,2.0,25,60
357,0.872,0.05811623246492986,2.5,25,60
358,0.566,0.3306613226452906,3.0,25,60
359,0.318,0.6112224448897795,3.5,25,60
360,0.224,0.7915831663326653,4.0,25,60
361,0.146,0.87374749498998,4.5,25,60
362,0.084,0.9318637274549099,5.0,25,60
363,0.054,0.9519038076152304,5.5,25,60
364,0.036,0.9759519038076152,6.0,25,60
365,0.028,0.9839679358717435,6.5,25,60
366,0.018,0.9899799599198397,7.0,25,60
367,0.008,0.9979959919839679,7.5,25,60
368,0.0,1.0,0.0,50,60
369,1.0,0.0,0.5,50,60
370,1.0,0.0,1.0,50,60
371,1.0,0.0,1.5,50,60
372,1.0,0.0,2.0,50,60
373,1.0,0.014028056112224449,2.5,50,60
374,0.99,0.17034068136272545,3.0,50,60
375,0.93,0.4789579158316633,3.5,50,60
376,0.762,0.6773547094188377,4.0,50,60
377,0.55,0.8076152304609219,4.5,50,60
378,0.4,0.8837675350701403,5.0,50,60
379,0.31,0.9298597194388778,5.5,50,60
380,0.246,0.9579158316633266,6.0,50,60
381,0.174,0.9739478957915831,6.5,50,60
382,0.112,0.9819639278557114,7.0,50,60
383,0.08,0.9879759519038076,7.5,50,60
